wavelength extinction
320.0 8.564351e-01
320.2 8.401497e-01
320.4 8.122926e-01
320.6 7.808691e-01
320.8 7.531786e-01
321.0 7.358538e-01
321.2 7.332947e-01
321.4 7.421355e-01
321.6 7.572427e-01
321.8 7.733466e-01
322.0 7.848526e-01
322.2 7.872009e-01
322.4 7.810003e-01
322.6 7.683178e-01
322.8 7.512831e-01
323.0 7.319818e-01
323.2 7.124101e-01
323.4 6.945032e-01
323.6 6.800987e-01
323.8 6.709683e-01
324.0 6.688941e-01
324.2 6.748287e-01
324.4 6.860856e-01
324.6 6.989885e-01
324.8 7.096866e-01
325.0 7.141609e-01
325.2 7.095289e-01
325.4 6.976715e-01
325.6 6.816941e-01
325.8 6.646179e-01
326.0 6.493096e-01
326.2 6.380119e-01
326.4 6.309943e-01
326.6 6.280900e-01
326.8 6.291818e-01
327.0 6.341981e-01
327.2 6.427227e-01
327.4 6.527956e-01
327.6 6.619896e-01
327.8 6.677827e-01
328.0 6.676064e-01
328.2 6.598190e-01
328.4 6.463556e-01
328.6 6.300185e-01
328.8 6.135032e-01
329.0 5.993626e-01
329.2 5.895396e-01
329.4 5.839694e-01
329.6 5.821429e-01
329.8 5.835955e-01
330.0 5.878912e-01
330.2 5.944254e-01
330.4 6.018475e-01
330.6 6.085793e-01
330.8 6.129955e-01
331.0 6.134459e-01
331.2 6.088691e-01
331.4 6.005202e-01
331.6 5.902290e-01
331.8 5.797849e-01
332.0 5.709202e-01
332.2 5.649475e-01
332.4 5.616757e-01
332.6 5.605615e-01
332.8 5.610776e-01
333.0 5.627017e-01
333.2 5.649039e-01
333.4 5.671206e-01
333.6 5.687742e-01
333.8 5.692809e-01
334.0 5.680560e-01
334.2 5.647368e-01
334.4 5.598341e-01
334.6 5.540743e-01
334.8 5.481756e-01
335.0 5.428444e-01
335.2 5.386516e-01
335.4 5.356632e-01
335.6 5.338235e-01
335.8 5.330808e-01
336.0 5.333868e-01
336.2 5.346185e-01
336.4 5.363425e-01
336.6 5.380438e-01
336.8 5.392016e-01
337.0 5.392911e-01
337.2 5.379381e-01
337.4 5.353757e-01
337.6 5.319909e-01
337.8 5.281702e-01
338.0 5.242974e-01
338.2 5.207139e-01
338.4 5.176033e-01
338.6 5.151100e-01
338.8 5.133782e-01
339.0 5.125536e-01
339.2 5.126800e-01
339.4 5.133871e-01
339.6 5.141988e-01
339.8 5.146360e-01
340.0 5.142166e-01
340.2 5.126065e-01
340.4 5.100652e-01
340.6 5.070012e-01
340.8 5.038213e-01
341.0 5.009295e-01
341.2 4.986319e-01
341.4 4.968506e-01
341.6 4.954136e-01
341.8 4.941492e-01
342.0 4.928859e-01
342.2 4.915102e-01
342.4 4.901386e-01
342.6 4.889454e-01
342.8 4.881048e-01
343.0 4.877915e-01
343.2 4.880908e-01
343.4 4.887273e-01
343.6 4.893335e-01
343.8 4.895395e-01
344.0 4.889740e-01
344.2 4.873864e-01
344.4 4.850093e-01
344.6 4.821963e-01
344.8 4.792998e-01
345.0 4.766699e-01
345.2 4.745761e-01
345.4 4.729729e-01
345.6 4.717371e-01
345.8 4.707460e-01
346.0 4.698768e-01
346.2 4.690245e-01
346.4 4.681535e-01
346.6 4.672455e-01
346.8 4.662825e-01
347.0 4.652461e-01
347.2 4.641249e-01
347.4 4.629337e-01
347.6 4.616942e-01
347.8 4.604281e-01
348.0 4.591568e-01
348.2 4.578996e-01
348.4 4.566661e-01
348.6 4.554633e-01
348.8 4.542985e-01
349.0 4.531787e-01
349.2 4.521067e-01
349.4 4.510674e-01
349.6 4.500410e-01
349.8 4.490079e-01
350.0 4.479486e-01
350.2 4.468499e-01
350.4 4.457242e-01
350.6 4.445907e-01
350.8 4.434682e-01
351.0 4.423759e-01
351.2 4.413275e-01
351.4 4.403165e-01
351.6 4.393311e-01
351.8 4.383597e-01
352.0 4.373907e-01
352.2 4.364146e-01
352.4 4.354323e-01
352.6 4.344468e-01
352.8 4.334613e-01
353.0 4.324789e-01
353.2 4.315020e-01
353.4 4.305304e-01
353.6 4.295633e-01
353.8 4.285999e-01
354.0 4.276392e-01
354.2 4.266807e-01
354.4 4.257244e-01
354.6 4.247704e-01
354.8 4.238190e-01
355.0 4.228705e-01
355.2 4.219249e-01
355.4 4.209822e-01
355.6 4.200425e-01
355.8 4.191055e-01
356.0 4.181713e-01
356.2 4.172397e-01
356.4 4.163109e-01
356.6 4.153847e-01
356.8 4.144612e-01
357.0 4.135404e-01
357.2 4.126224e-01
357.4 4.117070e-01
357.6 4.107942e-01
357.8 4.098842e-01
358.0 4.089768e-01
358.2 4.080720e-01
358.4 4.071698e-01
358.6 4.062703e-01
358.8 4.053734e-01
359.0 4.044790e-01
359.2 4.035873e-01
359.4 4.026981e-01
359.6 4.018116e-01
359.8 4.009275e-01
360.0 4.000461e-01
360.2 3.991672e-01
360.4 3.982908e-01
360.6 3.974170e-01
360.8 3.965456e-01
361.0 3.956768e-01
361.2 3.948105e-01
361.4 3.939467e-01
361.6 3.930854e-01
361.8 3.922265e-01
362.0 3.913701e-01
362.2 3.905162e-01
362.4 3.896647e-01
362.6 3.888156e-01
362.8 3.879690e-01
363.0 3.871249e-01
363.2 3.862831e-01
363.4 3.854437e-01
363.6 3.846067e-01
363.8 3.837722e-01
364.0 3.829400e-01
364.2 3.821102e-01
364.4 3.812827e-01
364.6 3.804576e-01
364.8 3.796349e-01
365.0 3.788145e-01
365.2 3.779964e-01
365.4 3.771806e-01
365.6 3.763672e-01
365.8 3.755561e-01
366.0 3.747473e-01
366.2 3.739407e-01
366.4 3.731365e-01
366.6 3.723345e-01
366.8 3.715348e-01
367.0 3.707374e-01
367.2 3.699422e-01
367.4 3.691493e-01
367.6 3.683586e-01
367.8 3.675701e-01
368.0 3.667838e-01
368.2 3.659998e-01
368.4 3.652180e-01
368.6 3.644383e-01
368.8 3.636609e-01
369.0 3.628857e-01
369.2 3.621126e-01
369.4 3.613417e-01
369.6 3.605729e-01
369.8 3.598063e-01
370.0 3.590419e-01
370.2 3.582796e-01
370.4 3.575194e-01
370.6 3.567614e-01
370.8 3.560054e-01
371.0 3.552516e-01
371.2 3.544999e-01
371.4 3.537503e-01
371.6 3.530028e-01
371.8 3.522573e-01
372.0 3.515140e-01
372.2 3.507726e-01
372.4 3.500334e-01
372.6 3.492962e-01
372.8 3.485611e-01
373.0 3.478280e-01
373.2 3.470969e-01
373.4 3.463679e-01
373.6 3.456409e-01
373.8 3.449159e-01
374.0 3.441929e-01
374.2 3.434719e-01
374.4 3.427528e-01
374.6 3.420358e-01
374.8 3.413208e-01
375.0 3.406077e-01
375.2 3.398966e-01
375.4 3.391874e-01
375.6 3.384802e-01
375.8 3.377750e-01
376.0 3.370717e-01
376.2 3.363703e-01
376.4 3.356708e-01
376.6 3.349733e-01
376.8 3.342777e-01
377.0 3.335840e-01
377.2 3.328921e-01
377.4 3.322023e-01
377.6 3.315142e-01
377.8 3.308281e-01
378.0 3.301438e-01
378.2 3.294614e-01
378.4 3.287808e-01
378.6 3.281022e-01
378.8 3.274253e-01
379.0 3.267503e-01
379.2 3.260772e-01
379.4 3.254059e-01
379.6 3.247364e-01
379.8 3.240687e-01
380.0 3.234028e-01
380.2 3.227388e-01
380.4 3.220765e-01
380.6 3.214161e-01
380.8 3.207574e-01
381.0 3.201005e-01
381.2 3.194454e-01
381.4 3.187921e-01
381.6 3.181405e-01
381.8 3.174907e-01
382.0 3.168426e-01
382.2 3.161964e-01
382.4 3.155518e-01
382.6 3.149090e-01
382.8 3.142679e-01
383.0 3.136285e-01
383.2 3.129909e-01
383.4 3.123550e-01
383.6 3.117207e-01
383.8 3.110882e-01
384.0 3.104574e-01
384.2 3.098283e-01
384.4 3.092008e-01
384.6 3.085751e-01
384.8 3.079510e-01
385.0 3.073286e-01
385.2 3.067078e-01
385.4 3.060887e-01
385.6 3.054713e-01
385.8 3.048555e-01
386.0 3.042414e-01
386.2 3.036289e-01
386.4 3.030180e-01
386.6 3.024087e-01
386.8 3.018011e-01
387.0 3.011951e-01
387.2 3.005907e-01
387.4 2.999879e-01
387.6 2.993867e-01
387.8 2.987871e-01
388.0 2.981891e-01
388.2 2.975927e-01
388.4 2.969978e-01
388.6 2.964046e-01
388.8 2.958129e-01
389.0 2.952228e-01
389.2 2.946342e-01
389.4 2.940472e-01
389.6 2.934617e-01
389.8 2.928778e-01
390.0 2.922954e-01
390.2 2.917145e-01
390.4 2.911353e-01
390.6 2.905574e-01
390.8 2.899812e-01
391.0 2.894064e-01
391.2 2.888332e-01
391.4 2.882614e-01
391.6 2.876912e-01
391.8 2.871224e-01
392.0 2.865552e-01
392.2 2.859894e-01
392.4 2.854251e-01
392.6 2.848623e-01
392.8 2.843010e-01
393.0 2.837411e-01
393.2 2.831827e-01
393.4 2.826258e-01
393.6 2.820702e-01
393.8 2.815162e-01
394.0 2.809636e-01
394.2 2.804124e-01
394.4 2.798627e-01
394.6 2.793144e-01
394.8 2.787675e-01
395.0 2.782221e-01
395.2 2.776780e-01
395.4 2.771354e-01
395.6 2.765942e-01
395.8 2.760544e-01
396.0 2.755160e-01
396.2 2.749789e-01
396.4 2.744433e-01
396.6 2.739091e-01
396.8 2.733762e-01
397.0 2.728447e-01
397.2 2.723146e-01
397.4 2.717859e-01
397.6 2.712585e-01
397.8 2.707324e-01
398.0 2.702078e-01
398.2 2.696845e-01
398.4 2.691625e-01
398.6 2.686419e-01
398.8 2.681226e-01
399.0 2.676046e-01
399.2 2.670880e-01
399.4 2.665727e-01
399.6 2.660587e-01
399.8 2.655460e-01
400.0 2.650347e-01
400.2 2.645246e-01
400.4 2.640159e-01
400.6 2.635085e-01
400.8 2.630023e-01
401.0 2.624975e-01
401.2 2.619940e-01
401.4 2.614917e-01
401.6 2.609907e-01
401.8 2.604910e-01
402.0 2.599925e-01
402.2 2.594952e-01
402.4 2.589992e-01
402.6 2.585045e-01
402.8 2.580112e-01
403.0 2.575193e-01
403.2 2.570288e-01
403.4 2.565396e-01
403.6 2.560514e-01
403.8 2.555640e-01
404.0 2.550772e-01
404.2 2.545910e-01
404.4 2.541060e-01
404.6 2.536230e-01
404.8 2.531427e-01
405.0 2.526660e-01
405.2 2.521932e-01
405.4 2.517240e-01
405.6 2.512575e-01
405.8 2.507929e-01
406.0 2.503293e-01
406.2 2.498661e-01
406.4 2.494035e-01
406.6 2.489417e-01
406.8 2.484809e-01
407.0 2.480213e-01
407.2 2.475633e-01
407.4 2.471067e-01
407.6 2.466513e-01
407.8 2.461971e-01
408.0 2.457438e-01
408.2 2.452914e-01
408.4 2.448400e-01
408.6 2.443898e-01
408.8 2.439411e-01
409.0 2.434941e-01
409.2 2.430488e-01
409.4 2.426048e-01
409.6 2.421612e-01
409.8 2.417175e-01
410.0 2.412729e-01
410.2 2.408269e-01
410.4 2.403801e-01
410.6 2.399330e-01
410.8 2.394863e-01
411.0 2.390407e-01
411.2 2.385967e-01
411.4 2.381544e-01
411.6 2.377134e-01
411.8 2.372737e-01
412.0 2.368351e-01
412.2 2.363974e-01
412.4 2.359607e-01
412.6 2.355249e-01
412.8 2.350903e-01
413.0 2.346567e-01
413.2 2.342242e-01
413.4 2.337928e-01
413.6 2.333626e-01
413.8 2.329333e-01
414.0 2.325050e-01
414.2 2.320777e-01
414.4 2.316515e-01
414.6 2.312266e-01
414.8 2.308030e-01
415.0 2.303808e-01
415.2 2.299602e-01
415.4 2.295411e-01
415.6 2.291233e-01
415.8 2.287066e-01
416.0 2.282910e-01
416.2 2.278763e-01
416.4 2.274625e-01
416.6 2.270497e-01
416.8 2.266378e-01
417.0 2.262269e-01
417.2 2.258170e-01
417.4 2.254082e-01
417.6 2.250004e-01
417.8 2.245936e-01
418.0 2.241880e-01
418.2 2.237834e-01
418.4 2.233798e-01
418.6 2.229771e-01
418.8 2.225752e-01
419.0 2.221739e-01
419.2 2.217732e-01
419.4 2.213734e-01
419.6 2.209751e-01
419.8 2.205786e-01
420.0 2.201843e-01
420.2 2.197926e-01
420.4 2.194031e-01
420.6 2.190155e-01
420.8 2.186293e-01
421.0 2.182441e-01
421.2 2.178596e-01
421.4 2.174757e-01
421.6 2.170925e-01
421.8 2.167102e-01
422.0 2.163288e-01
422.2 2.159484e-01
422.4 2.155689e-01
422.6 2.151904e-01
422.8 2.148127e-01
423.0 2.144358e-01
423.2 2.140597e-01
423.4 2.136844e-01
423.6 2.133102e-01
423.8 2.129373e-01
424.0 2.125659e-01
424.2 2.121960e-01
424.4 2.118270e-01
424.6 2.114584e-01
424.8 2.110896e-01
425.0 2.107198e-01
425.2 2.103487e-01
425.4 2.099767e-01
425.6 2.096044e-01
425.8 2.092324e-01
426.0 2.088613e-01
426.2 2.084916e-01
426.4 2.081233e-01
426.6 2.077562e-01
426.8 2.073901e-01
427.0 2.070249e-01
427.2 2.066603e-01
427.4 2.062965e-01
427.6 2.059335e-01
427.8 2.055714e-01
428.0 2.052103e-01
428.2 2.048501e-01
428.4 2.044908e-01
428.6 2.041323e-01
428.8 2.037744e-01
429.0 2.034171e-01
429.2 2.030602e-01
429.4 2.027040e-01
429.6 2.023492e-01
429.8 2.019960e-01
430.0 2.016450e-01
430.2 2.012964e-01
430.4 2.009498e-01
430.6 2.006049e-01
430.8 2.002611e-01
431.0 1.999180e-01
431.2 1.995752e-01
431.4 1.992327e-01
431.6 1.988908e-01
431.8 1.985497e-01
432.0 1.982094e-01
432.2 1.978703e-01
432.4 1.975322e-01
432.6 1.971950e-01
432.8 1.968587e-01
433.0 1.965232e-01
433.2 1.961885e-01
433.4 1.958543e-01
433.6 1.955207e-01
433.8 1.951876e-01
434.0 1.948549e-01
434.2 1.945227e-01
434.4 1.941913e-01
434.6 1.938613e-01
434.8 1.935331e-01
435.0 1.932073e-01
435.2 1.928842e-01
435.4 1.925635e-01
435.6 1.922445e-01
435.8 1.919268e-01
436.0 1.916097e-01
436.2 1.912929e-01
436.4 1.909763e-01
436.6 1.906604e-01
436.8 1.903453e-01
437.0 1.900312e-01
437.2 1.897182e-01
437.4 1.894063e-01
437.6 1.890951e-01
437.8 1.887843e-01
438.0 1.884737e-01
438.2 1.881630e-01
438.4 1.878527e-01
438.6 1.875430e-01
438.8 1.872344e-01
439.0 1.869272e-01
439.2 1.866218e-01
439.4 1.863176e-01
439.6 1.860141e-01
439.8 1.857107e-01
440.0 1.854067e-01
440.2 1.851017e-01
440.4 1.847961e-01
440.6 1.844904e-01
440.8 1.841852e-01
441.0 1.838809e-01
441.2 1.835779e-01
441.4 1.832760e-01
441.6 1.829749e-01
441.8 1.826744e-01
442.0 1.823739e-01
442.2 1.820734e-01
442.4 1.817731e-01
442.6 1.814732e-01
442.8 1.811741e-01
443.0 1.808761e-01
443.2 1.805795e-01
443.4 1.802842e-01
443.6 1.799900e-01
443.8 1.796967e-01
444.0 1.794041e-01
444.2 1.791121e-01
444.4 1.788206e-01
444.6 1.785295e-01
444.8 1.782387e-01
445.0 1.779481e-01
445.2 1.776577e-01
445.4 1.773677e-01
445.6 1.770784e-01
445.8 1.767899e-01
446.0 1.765025e-01
446.2 1.762165e-01
446.4 1.759315e-01
446.6 1.756473e-01
446.8 1.753636e-01
447.0 1.750800e-01
447.2 1.747964e-01
447.4 1.745131e-01
447.6 1.742302e-01
447.8 1.739483e-01
448.0 1.736675e-01
448.2 1.733881e-01
448.4 1.731098e-01
448.6 1.728322e-01
448.8 1.725549e-01
449.0 1.722774e-01
449.2 1.719997e-01
449.4 1.717221e-01
449.6 1.714453e-01
449.8 1.711701e-01
450.0 1.708970e-01
450.2 1.706266e-01
450.4 1.703585e-01
450.6 1.700921e-01
450.8 1.698267e-01
451.0 1.695619e-01
451.2 1.692971e-01
451.4 1.690325e-01
451.6 1.687683e-01
451.8 1.685048e-01
452.0 1.682422e-01
452.2 1.679808e-01
452.4 1.677205e-01
452.6 1.674612e-01
452.8 1.672028e-01
453.0 1.669453e-01
453.2 1.666884e-01
453.4 1.664316e-01
453.6 1.661744e-01
453.8 1.659161e-01
454.0 1.656561e-01
454.2 1.653944e-01
454.4 1.651332e-01
454.6 1.648754e-01
454.8 1.646236e-01
455.0 1.643806e-01
455.2 1.641484e-01
455.4 1.639250e-01
455.6 1.637076e-01
455.8 1.634934e-01
456.0 1.632794e-01
456.2 1.630635e-01
456.4 1.628460e-01
456.6 1.626276e-01
456.8 1.624092e-01
457.0 1.621916e-01
457.2 1.619755e-01
457.4 1.617605e-01
457.6 1.615463e-01
457.8 1.613323e-01
458.0 1.611182e-01
458.2 1.609036e-01
458.4 1.606894e-01
458.6 1.604765e-01
458.8 1.602660e-01
459.0 1.600589e-01
459.2 1.598553e-01
459.4 1.596526e-01
459.6 1.594471e-01
459.8 1.592353e-01
460.0 1.590135e-01
460.2 1.587795e-01
460.4 1.585355e-01
460.6 1.582850e-01
460.8 1.580317e-01
461.0 1.577789e-01
461.2 1.575296e-01
461.4 1.572836e-01
461.6 1.570402e-01
461.8 1.567985e-01
462.0 1.565579e-01
462.2 1.563175e-01
462.4 1.560774e-01
462.6 1.558376e-01
462.8 1.555980e-01
463.0 1.553586e-01
463.2 1.551196e-01
463.4 1.548807e-01
463.6 1.546419e-01
463.8 1.544031e-01
464.0 1.541641e-01
464.2 1.539251e-01
464.4 1.536866e-01
464.6 1.534495e-01
464.8 1.532145e-01
465.0 1.529826e-01
465.2 1.527542e-01
465.4 1.525286e-01
465.6 1.523049e-01
465.8 1.520822e-01
466.0 1.518594e-01
466.2 1.516359e-01
466.4 1.514119e-01
466.6 1.511878e-01
466.8 1.509642e-01
467.0 1.507415e-01
467.2 1.505200e-01
467.4 1.502996e-01
467.6 1.500800e-01
467.8 1.498611e-01
468.0 1.496424e-01
468.2 1.494238e-01
468.4 1.492052e-01
468.6 1.489867e-01
468.8 1.487680e-01
469.0 1.485493e-01
469.2 1.483307e-01
469.4 1.481130e-01
469.6 1.478972e-01
469.8 1.476845e-01
470.0 1.474758e-01
470.2 1.472718e-01
470.4 1.470715e-01
470.6 1.468738e-01
470.8 1.466774e-01
471.0 1.464809e-01
471.2 1.462835e-01
471.4 1.460853e-01
471.6 1.458870e-01
471.8 1.456889e-01
472.0 1.454916e-01
472.2 1.452956e-01
472.4 1.451007e-01
472.6 1.449069e-01
472.8 1.447138e-01
473.0 1.445214e-01
473.2 1.443294e-01
473.4 1.441373e-01
473.6 1.439444e-01
473.8 1.437503e-01
